score,sentence1,sentence2,lang
1.4,The young woman is flirting with the young boy.,Дівчина молода і весела.,en-ua
1.0,A woman looks at a duck as she walks behind it.,Жінка йде на прогулянку зі своїм собакою.,en-ua
2.0,the men are about to score in a water polo tournament,Двоє чоловіків ось-ось змагатимуться в матчі.,en-ua
2.2,Man sitting on a bench drink from a mug surrounded by rugs.,Чоловік сидить на одній з двох червоних лавок і дивиться в кіоск.,en-ua
2.8,A man eats popcorn while watching cartoons late one night.,Чоловік і дівчинка дивляться вдома мультфільми.,en-ua
3.2,Three men sit on a bench.,Двоє чоловіків сидять на лавці.,en-ua
0.8,The road is long.,Немає нічого на узбіччі дороги.,en-ua
2.0,A small blond boy slides head first down a blue playground slide toward another blond youth.,"Маленький хлопчик з волоссям, що стирчить, спускається по синій гірці.",en-ua
1.2,The four women are practicing for a upcoming match.,Жінки грають у виставі.,en-ua
1.8,a young man wearing a white t-shirt and green and black shorts standing on a stump.,Чоловік у білій сорочці та червоно-чорних шортах біжить тротуаром.,en-ua
4.0,man on steps,Чоловік сидить на сходах.,en-ua
2.2,A dog under the stairs,Собака відпочиває на сходах.,en-ua
1.0,There is a young girl.,З жінкою знаходиться молодий хлопчик.,en-ua
4.2,Two women give a demonstration at a Renaissance Fair.,Двоє людей проводять показ на ярмарку епохи Відродження.,en-ua
4.2,A woman paints a picture of a large building which can be seen in the background.,"Людина малює картину великої будівлі, яку видно на задньому плані.",en-ua
5.0,Some guy sitting on a couch watching television.,Хлопець сидить на дивані та дивиться телевізор.,en-ua
1.2,A woman is posing for a Christmas card.,Дівчина робить фото.,en-ua
3.4,Two kids are playing a game of Foosball.,Діти грають у гру один з одним.,en-ua
4.0,The man is in a deserted field.,Чоловік на вулиці в полі.,en-ua
4.8,A little boy is drinking from a juice packet.,Хлопчик п'є сік з пакета.,en-ua
0.4,A man has his skis ready for the field to get iced out,"Чоловік на човні готується підняти сітку, щоб дізнатися, що він зловив.",en-ua
4.4,The biker is doing dangerous stunts.,Байкер виконує трюки.,en-ua
0.4,A musician is smearing jam on his white guitar at a concert.,Тромбоністка грає на своєму інструменті в оркестрі для параду.,en-ua
2.8,A man is working on his farm.,"Старий чоловік працює на своєму господарстві, і корова його б'є.",en-ua
0.0,A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,Дві усміхнені маленькі дівчинки граються у фонтані разом з іншими людьми.,en-ua
3.0,A group of people playing soccer on a soccer field in front of a crowd.,"Група чоловіків грає у футбол на стадіоні, повному людей.",en-ua
4.6,A man is enjoying watching three asian children dance.,"Чоловік дивиться, як три азійські діти танцюють.",en-ua
4.4,A girl is talking to her dad on a cellphone.,Дівчина розмовляє по телефону.,en-ua
4.4,One person wields an umbrella.,Одна людина тримає парасольку.,en-ua
0.4,A woman walking down the side of a highway.,Чоловік стоїть на одній нозі на мосту.,en-ua
3.6,A group of teenagers jumping and having a good time.,Група дітей весело проводить час.,en-ua
1.4,A man calling for a taxi at the airport on a sunny day.,Чоловік на вулиці у липневий день.,en-ua
1.2,A man is playing his guitar at Joe's Cafe.,Чоловік грає на барабанах для своєї мами.,en-ua
3.0,A young boy has a red fishing pole.,Молодий хлопчик стоїть на мосту з вудкою.,en-ua
1.6,A player bounces a ball.,Гравець ловить м'яч.,en-ua
1.4,Someone is on a blanket.,Людина створює ковдру.,en-ua
2.4,Men competing in a contest.,Дві жінки змагаються в конкурсі.,en-ua
0.0,The puppy is outdoor.,Чоловік у принтованих шортах виконує позу йоги на пляжі.,en-ua
3.4,The man has a orange shirt.,Жінка має помаранчеву сорочку.,en-ua
0.8,The two kids look at the products sold inside the subway shop.,Діти крадуть у магазині.,en-ua
2.8,The baby boy wants his mother.,Маленький хлопчик радий бачити свою маму.,en-ua
1.6,A young girl in a pink jacket is playing a board game.,Хлопчик у куртці грається.,en-ua
1.6,A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.,Чоловік у білій сорочці та чорних штанах усміхається.,en-ua
0.2,A person is scaling a rock wall.,Людина та кінь знаходяться над парканом.,en-ua
3.2,A boy is very close to a girl.,"Дівчина близько до хлопця, обличчя якого не видно.",en-ua
2.2,Two men are playing a game of Scrabble together.,Дві жінки грають у гру.,en-ua
1.6,Six children are cleaning a room.,Двоє хлопчиків прибирають листя на автостоянці.,en-ua
2.0,The girl is very skilled and practices a lot.,Цей чоловік дуже вмілий.,en-ua
0.4,Many guards are standing in front of the starting line of a race.,Два чоловіки в діловому одязі стоять біля дороги.,en-ua
5.0,There is a cook preparing food.,Кухар готує їжу.,en-ua
3.6,Two men are helping a boy.,Двоє чоловіків з маленькою дитиною.,en-ua
4.8,A man at a farmers market.,Чоловік на фермерському ринку.,en-ua
2.0,four people walk toward a tower,Двоє чоловіків йдуть у напрямку до куполоподібної будівлі.,en-ua
0.2,A little girl and boy are reading books.,"Старша дитина грається лялькою, дивлячись у вікно.",en-ua
3.8,The child would like to swim.,Діти хочуть плавати.,en-ua
3.6,Two skiing people are doing cross country skiing.,Люди катаються на лижах по пересіченій місцевості.,en-ua
0.4,A dog taking a poop in the street.,Чоловік на розі вулиці робить для дітей фігурки з повітряних кульок.,en-ua
2.2,Men are fighting after a basketball game.,Чоловіки грають у баскетбол.,en-ua
1.8,A kid is talking in class.,Дівчина йде на заняття.,en-ua
1.2,The women are trying to sell something to the individual.,Чоловіки намагаються заробити трохи грошей.,en-ua
1.2,People are waiting for the fireworks to start.,"Троє людей чекають, коли дощ припиниться.",en-ua
2.2,A dog prepares to herd three sheep with horns.,Собака і вівця біжать разом.,en-ua
2.0,People are sitting around dimly lit tables while smiling and laughing.,Люди сидять на лавках.,en-ua
4.0,A dog is chasing cows.,Білий собака женеться за коровами.,en-ua
4.6,One football player tries to tackle a player on the opposing team.,Футболіст намагається виконати підкат.,en-ua
1.4,Three men are drying to pull a Subaru out of a ditch along a mountain road.,Двоє чоловіків чекають на поїздку біля ґрунтової дороги.,en-ua
0.8,A woman doesn't have her arms up because she's paralyzed from the neck down,"Жінка сидить на сходах, бо спіткнулася і пошкодила щиколотку.",en-ua
5.0,People gathered in a room.,Люди зібралися разом у кімнаті.,en-ua
2.6,The woman in overalls paints a picture for her wall.,Жінка фарбує свою стіну в білий колір.,en-ua
0.0,Adding aspirin to the water could kill the plant.,Чоловіки намагаються видалити нафту з водойми.,en-ua
0.6,Five kids are standing in front of a tent.,Люди сидять перед садом.,en-ua
1.2,Female in a maroon shirt engaged in conversation with another female in a tan blazer.,"Дівчина в синій сукні та інша дівчина в фіолетовій, обидві усміхаються.",en-ua
1.6,Baseball players playing a game at the park.,"Баскетболіст, який грає в матчі з нагоди повернення на рідне поле.",en-ua
0.0,They are preparing for a performance at school.,Двоє медичних фахівців в зеленому дивляться на щось.,en-ua
2.8,The woman is wearing yellow.,Жінка одягнена в червоне.,en-ua
0.6,Some smiling children are standing in front of an ocean sunset.,Люди йдуть у темряві.,en-ua
3.2,A man is doing a stunt on his bicycle.,Чоловік виконує вилі на своєму мотоциклі.,en-ua
1.6,Ten people riding ATVs.,Четверо людей їдуть на велосипедах.,en-ua
3.0,Two fishermen try to untangle their large fishing net on the side of the road on a cloudy day.,Кілька чоловіків витягують рибальську сітку на пляж.,en-ua
0.2,A yellow vested person is doing road work.,Людина чудово катається на скейтборді.,en-ua
2.4,The woman had brown hair.,Жінка має сиве волосся.,en-ua
0.6,Black and white image of a wave crashing in the ocean.,маленька чорна собака в океані на фоні кількох скель,en-ua
4.6,A lady and her daughter look through a microscope.,Дівчина і жінка обидві дивляться в мікроскоп.,en-ua
3.8,Two workers are sitting next to pipes eating lunch,Будівельники сідають обідати.,en-ua
0.6,A boy does a skateboard trick on the stairs downtown.,хлопчик біжить по тротуару,en-ua
4.0,A group of people living in the desert,Група людей посеред пустелі.,en-ua
2.8,Two kids are swimming.,Шестеро дітей йдуть плавати.,en-ua
4.8,Three humans are walking a dog.,Троє людей вигулюють собаку.,en-ua
5.0,There are people out on the street.,Люди вийшли на вулицю.,en-ua
5.0,people getting their dirty clothes cleaned,Люди віддають одяг у хімчистку.,en-ua
0.2,Two women are lost and calling for help.,"Двоє азійських чоловіків збирають матеріали для свого бізнесу, і їхня дитина мусила поїхати з ними.",en-ua
0.6,A man is throwing a penny into a fountain.,Маленький хлопчик кидає чоловіка у воду.,en-ua
3.4,The children are holding musical instruments.,Група дітей співає та грає на інструментах.,en-ua
0.8,Two girls are playing Doctor inside their house.,Дві дівчинки йдуть зі своїм батьком.,en-ua
3.6,A crowd of men wearing paper numbers on their shirts run in a race.,Кілька чоловіків біжать по трав'яному полю з номерами на передній частині футболок.,en-ua
2.8,A group of people are wearing police uniforms conducting an arrest.,Група поліцейських одягнені в захисне спорядження.,en-ua
0.0,The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.,три собаки гарчать одна на одну,en-ua
4.4,A doctor prescribes medicine to a patient.,Лікар призначає ліки.,en-ua
4.6,A woman is in the bathroom.,Жінка у ванній кімнаті.,en-ua
2.8,Spectators taking pictures of a rally car.,"Натовп людей спостерігає, як машини мчать трасою.",en-ua
4.0,The man and woman are resting on a couch.,Чоловік і жінка сплять на дивані.,en-ua
1.4,the man is planning to shoot a wedding,жінка йде на весілля.,en-ua
1.0,The boy in the green jersey plays goalie on the soccer team.,Команда в синьому грає матч проти команди в білому.,en-ua
1.2,The child's bike got wet.,Вона прибирає велосипед.,en-ua
3.2,A soldier walks a dog.,Чоловік вигулює собаку.,en-ua
3.0,A shirtless woman is operating a lawn mower.,Дівчина косить траву газонокосаркою.,en-ua
5.0,People are near water,Люди біля води.,en-ua
2.2,The two officers are driving,Двоє офіцерів на конях.,en-ua
0.4,Friends walk into a building,чоловік іде тротуаром до магазину,en-ua
2.0,The lady looks sad because no one is buying her wares.,Пані продає речі.,en-ua
0.8,The rollerblades are moving.,Два транспортні засоби рухаються в напрямку камери.,en-ua
0.4,There is a older man near a window.,Хлопчик біля сходів.,en-ua
0.0,A guy and a girl are rock climbing with backpacks on.,"Двоє хлопців катаються на іграшці, а поруч з ними біжить дівчинка з білявим волоссям.",en-ua
1.6,In Abu Dhabi the Golden Market is one of the premier public outdoor shopping areas.,Жвава міська площа в азійській країні.,en-ua
1.6,A pregnant woman is in labor,жінка має дитину.,en-ua
3.8,A flock of birds hovered over the sandy beach.,Птахи летять над пляжем.,en-ua
1.6,people walk home,Люди чекають.,en-ua
3.6,The religious people are enjoying the outdoors.,Група людей насолоджується природою.,en-ua
3.0,A girl in water without goggles or a swimming cap.,"Дівчина у воді, з окулярами та плавальною шапочкою.",en-ua
2.8,A man is performing a stunt outdoors.,Молодий чоловік на пляжі виконує трюки на скейтборді.,en-ua
4.8,A man is laughing with a woman,Чоловік і жінка сміються.,en-ua
1.2,He is about to run into the boat,"Чоловік чистить свій човен, щоб вивести його на воду.",en-ua
2.4,2 Cows are in a field.,Дві вівці у полі.,en-ua
1.8,A wet child enjoys the summer.,Жінка насолоджується літньою погодою.,en-ua
0.2,There was girl stranded on the roof.,Пара була на ліжку.,en-ua
1.0,There are four snowboarders going off a jump and that are in the air.,Двоє гонщиків наближаються до повороту.,en-ua
2.6,The girl has a driver's license,У чоловіка є водійське посвідчення.,en-ua
3.8,People on motorcycles wearing racing gear ride around a racetrack,Люди на мотоциклах катаються по гоночному треку.,en-ua
1.2,A man is standing on the ground with a paintbrush,Чоловік з милицями лежить на землі.,en-ua
0.2,The kids are at the theater watching a movie.,сьогодні у хлопців день фотографії,en-ua
3.8,Two women walk down the sidewalk to the store.,Дві жінки гуляють тротуаром вдень.,en-ua
2.4,A man has his son on his back,Чоловік провів час зі своїм сином.,en-ua
0.4,A group of dark-skinned people are walking past barbed wire.,Дві жінки пліткують біля паркану.,en-ua
3.4,Zombies parading around eating brains.,Зомбі разом їдять плоть.,en-ua
4.2,A group of people are sitting at at a beach on towels watching the Blue Angels.,"Група людей сидить на пляжі і дивиться на ""Блакитних Ангелів"".",en-ua
1.4,"A basketball player makes the 5th rebound of the night,",Тенісист під час гри.,en-ua
2.4,Three people are meeting for coffee.,Двоє людей готують каву.,en-ua
0.8,A young girl with dirt on her face and a red child's bike is in the background.,"Стара жінка в шортах і білій футболці стоїть на стежці та спостерігає за тим, як граються діти.",en-ua
2.8,A helicopter is getting ready to take off.,Літак готується до зльоту.,en-ua
4.4,A line of scooters are parking in the middle of a street.,Ряд мотоциклів припаркований посеред вулиці.,en-ua
3.0,A man holding a cat.,Чоловік тримає собаку.,en-ua
3.0,A man doing a jumping bike trick surrounded by trees.,Хлопчик їде на зеленому трюковому велосипеді сходами на вулиці.,en-ua
1.6,Three guys in speedos have their feet up on the railing of a boat getting a tan.,Кілька чоловіків на палубі скидають іншого чоловіка у воду.,en-ua
2.8,A group wading across a witch,Група переходить через рів.,en-ua
4.0,A woman jumps and poses for the camera.,Жінка позує для камери.,en-ua
0.8,A man is on a rooftop,Чоловік тримає мікрофон у кімнаті.,en-ua
2.0,There are two men near a wall.,Три жінки сидять біля стіни.,en-ua
2.0,The cats are running through the grass.,Декілька собак бігають парком.,en-ua
3.0,The two boys are playing kick ball back and forth to each other.,"Гравці штовхають один одного, намагаючись вдарити по м'ячу.",en-ua
2.2,Two girls are running.,Троє хлопців біжать.,en-ua
4.4,The two men are wearing jeans.,Двоє чоловіків одягнені в штани.,en-ua
1.8,A little girl in a white blouse and blue pants frolics on the grass.,Жінка в зеленій сорочці та білих штанах грає в гольф на газоні.,en-ua
4.6,The man without a shirt is jumping.,"Чоловік, який стрибає, без сорочки.",en-ua
2.4,The woman is holding the hands of the man.,Жінка перевіряє очі чоловіка.,en-ua
4.4,A man walks his dog on the beach.,Чоловік з собакою на пляжі.,en-ua
0.8,The child is the woman's kid.,Є хлопчик і дівчинка.,en-ua
3.8,A soccer player is kicking the ball.,Футболіст сильно вдарив м'яч ногою.,en-ua
1.4,Two boys in black swimming trunks are holding another boy by his arms and legs on a beach.,"Чоловік у білій сорочці перекидає молодого хлопця у воду, а навколо них стоять чотири інших хлопці.",en-ua
2.8,The player shoots the winning points.,Баскетболіст ось-ось принесе очки для своєї команди.,en-ua
2.8,A man in a white shirt and hat playing a guitar.,Чоловік у зеленій сорочці та чорному капелюсі грає на гітарі на сцені.,en-ua
2.8,A black hooded man is using a large magnifying glass to look at a booklet.,"Жінка у білому капюшоні використовує збільшувальне скло, щоб розглянути буклет.",en-ua
5.0,the people are running a marathon,Люди біжать марафон.,en-ua
3.0,A motorcross driver going by during a race,Гонщик бере участь у гонці свого життя.,en-ua
2.2,A group of people are nervous about crossing the water.,Група людей перебуває на воді.,en-ua
1.2,A group of kids are having a jumping contest.,Група дітей влаштувала нічліжку.,en-ua
1.6,The gate is blue.,Ворота жовті.,en-ua
1.6,The person is wearing a fedora.,Чоловік носить уніформу.,en-ua
2.8,A woman and a man embrace while watching a horror movie.,Чоловік і жінка разом дивляться фільм.,en-ua
1.8,A man in a blue dress shirt.,Чоловік у білій сорочці та синіх штанах розмовляє з жінкою в рожевій сорочці.,en-ua
2.6,A couple is playing the game of Life.,Родина разом грає в гру.,en-ua
0.2,The head of a child with dark glasses is in focus.,Там жінка з густим волоссям.,en-ua
1.0,A dog walks along a beach with breaking waves.,Хлопець з веслом виходить з прибою на пляж.,en-ua
2.6,A pair of men walk along the beach.,Двоє чоловіків стоять у прибій на пляжі.,en-ua
1.6,Blond woman in a tunnel.,"Пара, що цілується, знаходиться біля білявої жінки.",en-ua
2.4,A maintenance guy is repairing a net on a tennis court.,Чоловік знімає тенісну сітку.,en-ua
4.2,A kid sits on a soccer ball outside.,Дитина сидить на футбольному м'ячі в парку.,en-ua
0.2,The raven droned as is hopped along the grass.,Худа собака з довгим хвостом подорожує полем.,en-ua
2.2,A man in a brown coat rubs his nose.,Лисий чоловік з рудою бородою тримає руку біля рота.,en-ua
1.6,The dog is chasing the geese.,Один пес женеться за іншим.,en-ua
0.8,Small child playing with letter P,"Дві молоді дівчини сидять перед книжковою шафою, і одна з них читає книгу.",en-ua
5.0,A brown dog is jumping.,Коричневий пес стрибає.,en-ua
3.0,the man is catching a ball,Чоловік б'є по м'ячу.,en-ua
3.0,Two men are sitting in the room.,В кімнаті стоять двоє чоловіків.,en-ua
1.2,A group of teenagers in red shirts are smiling.,Група людей одягнена в помаранчеві футболки.,en-ua
3.2,The woman is waiting for her date.,Жінка йде на побачення.,en-ua
