score,sentence1,sentence2,lang
2.0,People are sitting around dimly lit tables while smiling and laughing.,Люди сидять на лавках.,en-ua
4.0,A dog is chasing cows.,Білий пес біжить за коровами.,en-ua
4.6,One football player tries to tackle a player on the opposing team.,Футболіст намагається зробити захист.,en-ua
1.4,Three men are drying to pull a Subaru out of a ditch along a mountain road.,Двоє чоловіків чекають на підвіз біля dirt дороги.,en-ua
0.8,A woman doesn't have her arms up because she's paralyzed from the neck down,"Жінка сидить на сходах, бо спіткнулася і вивихнула щиколотку.",en-ua
5.0,People gathered in a room.,Люди зібралися в кімнаті.,en-ua
2.6,The woman in overalls paints a picture for her wall.,Жінка фарбує свою стіну в білий колір.,en-ua
0.0,Adding aspirin to the water could kill the plant.,Чоловіки намагаються вилучити油 з водойми.,en-ua
0.6,Five kids are standing in front of a tent.,Люди сидять перед садом.,en-ua
1.2,Female in a maroon shirt engaged in conversation with another female in a tan blazer.,"Дівчина в синій сукні та інша дівчина в фіолетовій сукні, обидві усміхаються.",en-ua
1.6,Baseball players playing a game at the park.,"Баскетболіст, який грає в домашньому матчі.",en-ua
0.0,They are preparing for a performance at school.,Двоє медичних працівників у зеленому спостерігають за чимось.,en-ua
2.8,The woman is wearing yellow.,Жінка в червоному.,en-ua
0.6,Some smiling children are standing in front of an ocean sunset.,Люди йдуть темрявою.,en-ua
3.2,A man is doing a stunt on his bicycle.,Чоловік робить виліт на своєму мотоциклі.,en-ua
1.6,Ten people riding ATVs.,Чотири людини їдуть на велосипедах.,en-ua
3.0,Two fishermen try to untangle their large fishing net on the side of the road on a cloudy day.,Декілька чоловіків витягують рибальську сітку на берег.,en-ua
0.2,A yellow vested person is doing road work.,Людина дуже добре катається на скейтборді.,en-ua
2.4,The woman had brown hair.,У жінки сиве волосся.,en-ua
0.6,Black and white image of a wave crashing in the ocean.,маленький чорний собака в океані з кількома скелями на фоні,en-ua
4.6,A lady and her daughter look through a microscope.,Дівчина і жінка обидві заглядають в мікроскоп.,en-ua
3.8,Two workers are sitting next to pipes eating lunch,Будівельники сідають обідати.,en-ua
0.6,A boy does a skateboard trick on the stairs downtown.,Хлопчик біжить тротуаром.,en-ua
4.0,A group of people living in the desert,Група людей посеред пустелі.,en-ua
2.8,Two kids are swimming.,Шестеро дітей йдуть плавати.,en-ua
4.8,Three humans are walking a dog.,Троє людей гуляють з собакою.,en-ua
5.0,There are people out on the street.,Люди на вулиці.,en-ua
5.0,people getting their dirty clothes cleaned,Люди чистять свої одяги.,en-ua
0.2,Two women are lost and calling for help.,"Два азійці збирають матеріали для свого бізнесу, а їхня дитина повинна була піти з ними.",en-ua
0.6,A man is throwing a penny into a fountain.,Маленький хлопчик кидає чоловіка у воду.,en-ua
3.4,The children are holding musical instruments.,Група дітей співає та грає на музичних інструментах.,en-ua
0.8,Two girls are playing Doctor inside their house.,Дві дівчинки йдуть зі своїм татом.,en-ua
3.6,A crowd of men wearing paper numbers on their shirts run in a race.,"Кілька чоловіків біжать по трав’яній площі, на грудях у них номери.",en-ua
2.8,A group of people are wearing police uniforms conducting an arrest.,Група поліцейських одягнена в захисне спорядження.,en-ua
0.0,The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.,три собаки гарчать одна на одну,en-ua
4.4,A doctor prescribes medicine to a patient.,Лікар виписує ліки.,en-ua
4.6,A woman is in the bathroom.,Жінка в ванній.,en-ua
2.8,Spectators taking pictures of a rally car.,Юрба людей спостерігає за гонками автомобілів на треку.,en-ua
4.0,The man and woman are resting on a couch.,Чоловік і жінка сплять на дивані.,en-ua
1.4,the man is planning to shoot a wedding,Жінка йде на весілля.,en-ua
1.0,The boy in the green jersey plays goalie on the soccer team.,Команда в синьому грає матч проти команди в білому.,en-ua
1.2,The child's bike got wet.,Вона прибирає велосипед.,en-ua
3.2,A soldier walks a dog.,Чоловік вигулює собаку.,en-ua
3.0,A shirtless woman is operating a lawn mower.,Дівчина косить траву газонокосилкою.,en-ua
5.0,People are near water,Люди поруч з водою.,en-ua
2.2,The two officers are driving,Двоє офіцерів на конях.,en-ua
0.4,Friends walk into a building,Чоловік іде по тротуару до магазину.,en-ua
2.0,The lady looks sad because no one is buying her wares.,Жінка продає речі.,en-ua
0.8,The rollerblades are moving.,Два автомобілі рухаються у бік камери.,en-ua
0.4,There is a older man near a window.,Хлопчик біля сходів.,en-ua
0.0,A guy and a girl are rock climbing with backpacks on.,"Двоє хлопчиків їдуть на іграшці, а поряд з ними біжить блондинка.",en-ua
1.6,In Abu Dhabi the Golden Market is one of the premier public outdoor shopping areas.,Біляста площа в місті азійської країни.,en-ua
1.6,A pregnant woman is in labor,Жінка має дитину.,en-ua
3.8,A flock of birds hovered over the sandy beach.,Птахи літають на пляжі.,en-ua
1.6,people walk home,Люди чекають.,en-ua
3.6,The religious people are enjoying the outdoors.,Група людей насолоджується відпочинком на природі.,en-ua
3.0,A girl in water without goggles or a swimming cap.,"Дівчина у воді, з окулярами для плавання і купальником.",en-ua
2.8,A man is performing a stunt outdoors.,Молодий чоловік на пляжі виконує трюки на скейтборді.,en-ua
4.8,A man is laughing with a woman,Чоловік і жінка сміються.,en-ua
1.2,He is about to run into the boat,"Чоловік чистить свій човен, щоб вивезти його на воду.",en-ua
2.4,2 Cows are in a field.,Дві вівці в полі.,en-ua
1.8,A wet child enjoys the summer.,Жінка насолоджується літньою погодою.,en-ua
0.2,There was girl stranded on the roof.,Пара була на ліжку.,en-ua
1.0,There are four snowboarders going off a jump and that are in the air.,Два гонщики під'їжджають до повороту.,en-ua
2.6,The girl has a driver's license,Чоловік має водійське посвідчення.,en-ua
3.8,People on motorcycles wearing racing gear ride around a racetrack,Люди на мотоциклах їздять по гоночній трасі.,en-ua
1.2,A man is standing on the ground with a paintbrush,Чоловік з милицею лежить на землі.,en-ua
0.2,The kids are at the theater watching a movie.,Сьогодні у хлопців день фотографій.,en-ua
3.8,Two women walk down the sidewalk to the store.,Дві жінки йдуть тротуаром в по обіді.,en-ua
2.4,A man has his son on his back,Чоловік проводив час зі своїм сином.,en-ua
0.4,A group of dark-skinned people are walking past barbed wire.,Дві жінки балакають біля огорожі.,en-ua
3.4,Zombies parading around eating brains.,Зомбі разом поїдають плоть.,en-ua
4.2,A group of people are sitting at at a beach on towels watching the Blue Angels.,"Група людей сидить на пляжі та спостерігає за ""Синіми Ангелами"".",en-ua
1.4,"A basketball player makes the 5th rebound of the night,",Тенісист у середині гру.,en-ua
2.4,Three people are meeting for coffee.,Двоє людей готують каву.,en-ua
0.8,A young girl with dirt on her face and a red child's bike is in the background.,"Стара жінка в шортах і білому футболці стоїть на стежці і спостерігає, як діти грають.",en-ua
2.8,A helicopter is getting ready to take off.,Літак готується до вильоту.,en-ua
4.4,A line of scooters are parking in the middle of a street.,Ряд мотоциклів припарковані посеред вулиці.,en-ua
3.0,A man holding a cat.,Чоловік тримає собаку.,en-ua
3.0,A man doing a jumping bike trick surrounded by trees.,Хлопець їде на зеленому трюковому велосипеді по сходах на вулиці.,en-ua
1.6,Three guys in speedos have their feet up on the railing of a boat getting a tan.,Декілька чоловіків на палубі скидають іншого чоловіка у воду.,en-ua
2.8,A group wading across a witch,"Група, яка переходитить через рівчак.",en-ua
4.0,A woman jumps and poses for the camera.,Жінка позує для камери.,en-ua
0.8,A man is on a rooftop,Чоловік тримає мікрофон у кімнаті.,en-ua
2.0,There are two men near a wall.,Три жінки сидять біля стіни.,en-ua
2.0,The cats are running through the grass.,Деякі собаки бігають у парку.,en-ua
3.0,The two boys are playing kick ball back and forth to each other.,"Гравці б’ють один одного, намагаючись вдарити по м'ячу.",en-ua
2.2,Two girls are running.,Троє хлопців бігають.,en-ua
4.4,The two men are wearing jeans.,Двоє чоловіків одягнені в штани.,en-ua
1.8,A little girl in a white blouse and blue pants frolics on the grass.,Жінка в зеленій сорочці та білих штанах грає в гольф на зеленому полі.,en-ua
4.6,The man without a shirt is jumping.,"Чоловік, що стрибає, не має на собі сорочки.",en-ua
2.4,The woman is holding the hands of the man.,Жінка перевіряє очі чоловіка.,en-ua
4.4,A man walks his dog on the beach.,Чоловік зі своїм собакою на пляжі.,en-ua
0.8,The child is the woman's kid.,Є хлопчик і дівчинка.,en-ua
3.8,A soccer player is kicking the ball.,Футболіст вдарив по м'ячу з високого підйому.,en-ua
1.4,Two boys in black swimming trunks are holding another boy by his arms and legs on a beach.,"Чоловік у білій сорочці перевертає молодого хлопчика у воді, а навколо них четверо інших хлопців.",en-ua
2.8,The player shoots the winning points.,Баскетболіст ось-ось набере очки для своєї команди.,en-ua
2.8,A man in a white shirt and hat playing a guitar.,Чоловік у зеленій сорочці та чорному капелюсі грає на гітарі на сцені.,en-ua
2.8,A black hooded man is using a large magnifying glass to look at a booklet.,Жінка в білому капюшоні розглядає буклет за допомогою збільшувального скла.,en-ua
5.0,the people are running a marathon,Люди бігають марафон.,en-ua
3.0,A motorcross driver going by during a race,Перегоночний гонщик виступає в гонці свого життя.,en-ua
2.2,A group of people are nervous about crossing the water.,Група людей на воді.,en-ua
1.2,A group of kids are having a jumping contest.,Група дітей влаштувала ночівлю.,en-ua
1.6,The gate is blue.,Ворота жовті.,en-ua
1.6,The person is wearing a fedora.,Чоловік у формі.,en-ua
2.8,A woman and a man embrace while watching a horror movie.,Чоловік і жінка дивляться разом фільм.,en-ua
1.8,A man in a blue dress shirt.,Чоловік у білій сорочці та синіх штанах розмовляє з жінкою у рожевій сорочці.,en-ua
2.6,A couple is playing the game of Life.,Сім'я грає в гру разом.,en-ua
0.2,The head of a child with dark glasses is in focus.,Є жінка з густим волоссям.,en-ua
1.0,A dog walks along a beach with breaking waves.,Хлопець з веслом виходить з прибою на пляж.,en-ua
2.6,A pair of men walk along the beach.,Двоє чоловіків стоять у хвилях на пляжі.,en-ua
1.6,Blond woman in a tunnel.,"Пара, що цілується, знаходиться поруч із блондинкою.",en-ua
2.4,A maintenance guy is repairing a net on a tennis court.,Чоловік знімає тенісну сітку.,en-ua
4.2,A kid sits on a soccer ball outside.,Дитина сидить на футбольному м'ячі в парку.,en-ua
0.2,The raven droned as is hopped along the grass.,Худий собака з довгим хвостом подорожує полем.,en-ua
2.2,A man in a brown coat rubs his nose.,Лисий чоловік з червоною бородою тримає руку біля рота.,en-ua
1.6,The dog is chasing the geese.,Одна собака ганяє іншу.,en-ua
0.8,Small child playing with letter P,"Дві молоді дівчинки сидять перед книжковою шафою, і одна з них читає книгу.",en-ua
5.0,A brown dog is jumping.,Коричневий пес стрибає.,en-ua
3.0,the man is catching a ball,Чоловік б'є м'яч ногою.,en-ua
3.0,Two men are sitting in the room.,Двоє чоловіків стоять у кімнаті.,en-ua
1.2,A group of teenagers in red shirts are smiling.,Група людей у помаранчевих футболках.,en-ua
3.2,The woman is waiting for her date.,Жінка по дорозі на побачення.,en-ua
