score,sentence1,sentence2,lang
1.4,"Людина спостерігає, як люди катаються на лижах з гори.","Жінка стрибає на далеку відстань, поки люди спостерігають.",ua-ua
1.6,На подвір'ї є собака.,Собака біжить за іншою собакою.,ua-ua
0.4,Жінка п'є лимонад і дивиться телевізор.,Чоловік сидить і п'є каву.,ua-ua
3.2,Три жінки готують.,Дві жінки готують.,ua-ua
0.2,Жінка стоїть на колінах поруч із котом.,Дівчина стоїть поруч із чоловіком.,ua-ua
0.2,Молоді люди холодні.,Азіатські діти грають з собакою.,ua-ua
2.4,Троє хлопців грають у професійну гру в баскетбол.,Двоє хлопців грають у бейсбол.,ua-ua
3.8,"Сумний чоловік стрибає через маленький струмок, щоб зустріти свого компаньйона на іншому березі.","Чоловік стрибає через струмок, щоб зустрітися з компаньйоном на іншому березі.",ua-ua
0.2,Хлопці здобувають свої наступні пояси з карате.,П'ять дівчат і один хлопець у купальних костюмах всі в середині стрибка в басейн.,ua-ua
1.4,Жінка копає в піску.,Чоловік похований у піску.,ua-ua
1.8,Жінка керує гольф-картом.,Чоловік їде на возі.,ua-ua
4.2,Жінка стрибає з банджі.,Дівчина стрибає з банджі.,ua-ua
1.2,"Клоун виступає для брата і сестри, поки решта гостей спостерігають.","Дитина з блондинистим волоссям грає на трубі перед будинком, поки її younger брат спостерігає.",ua-ua
1.6,"Людина, яка знімає на вулиці.",На вулиці знаходиться пара.,ua-ua
3.8,Людина катається на скейтборді.,Дитина катається на скейтборді.,ua-ua
1.0,Жінка в клітчастому вбранні переглядає мішок з овочами.,"Це фото жінки у квітковій сукні, яка несе щось у відрі.",ua-ua
3.4,Чотири дівчини весело йдуть тротуаром.,Три молоді дівчатка йдуть тротуаром.,ua-ua
1.2,"Тенісист вдарив по м'ячу так, що він полетів у космос і розбив Зірку Смерті.","Жінка-тенісистка стрибає в повітрі, щоб вдарити м'яч.",ua-ua
4.0,Хлопець піднімається на лісовий пагорб.,Хлопець піднімається на пагорб.,ua-ua
2.4,група морських котиків співає,Група військовослужбовців грає у мідному квінтеті.,ua-ua
2.0,Блондинчик стрибає на палубу.,Хлопчик стрибає з вологого надувного гірки.,ua-ua
2.6,"Чоловік використовує бензопилу, щоб створити фаллічну скульптуру з льоду.","Чоловік використовує бензопилу, щоб вирізати дерев’яну скульптуру.",ua-ua
3.8,Група чоловіків-будівельників ремонтує залізничні колії в похмурий день.,"Бригада робітників, яка працює на залізничній колії.",ua-ua
3.2,"Чоловік, який грає на скрипці під дощем.",Чоловік грає на гітарі під дощем.,ua-ua
2.2,Люди виходять з літака.,Люди входять до літака.,ua-ua
4.4,Собаки ганяють кота.,Собаки ганяються за чорним котом.,ua-ua
2.6,Дівчина має щось на голові.,У жінки є щось з собою.,ua-ua
2.6,Плямний собака грає з червоним собакою на снігу.,Жовтий пес грає у снігу.,ua-ua
0.2,Люди будують конструкцію з карт.,"Двоє людей разом, і один використовує предмет одягу не за призначенням.",ua-ua
0.2,дівчина з вазами на фоні в своєму домі,"Дівчина стоїть, поки інша дівчина в окулярах працює над своєю рукописною роботою.",ua-ua
3.0,Зовні є четверо людей.,П’ятеро людей на вулиці.,ua-ua
3.2,"Людина, що сидить в офісі, робить фотографію.",Жінка сидить в офісі.,ua-ua
1.8,Дівчата тримаються за руки в синьому одязі.,Молоді люди носять джинси з червоними та зеленими сорочками.,ua-ua
2.2,"Люди стрибають у воду з каміння, поки на фоні ловлять рибу.",Дві людини спостерігають за водою.,ua-ua
0.6,"Чоловік демонструє, як працювати з глиною, поки принаймні двоє людей спостерігають.",Принаймні одна з трьох жінок розмовляє з іншими.,ua-ua
0.6,Собака в светрі.,Чоловік у піджаку сидить на червоному дивані з котом.,ua-ua
5.0,Світловолоса жінка шукає медичні припаси для роботи в валізі.,Блондинка шукає медичні засоби в валізі.,ua-ua
5.0,Хлопець у школі складає тест.,Хлопець складає тест у школі.,ua-ua
2.2,Старий чоловік у капелюсі стоїть біля дверей магазину.,Чоловік у великій сорочці сидить у крамниці.,ua-ua
0.2,"Скульптор наносить бетон на велику статую людської фігури, що стоїть без голови.","Людина стоїть перед будівлею, тримаючи вгорі фанеру.",ua-ua
0.6,Хлопчик з темним волоссям у воді і дивиться вгору.,Чоловік має коротке волосся.,ua-ua
0.2,"За людиною, яка грає в прихованку з дитиною, стоїть стовп.",Є дитина з м'ячем.,ua-ua
1.0,Жінка збирається малювати.,Хлопець готується зробити фотографію.,ua-ua
0.4,Візок запряжений конем.,Чоловік їде на велосипеді поруч зі будівлею.,ua-ua
3.4,"чоловік, який працює на металургійному заводі","Чоловік, який працює на ливарні.",ua-ua
1.4,Молода жінка фліртує з молодим хлопцем.,Дівчина молода і весела.,ua-ua
1.0,"Жінка дивиться на качку, коли йде слідом за нею.",Жінка виходить на прогулянку зі своїм собакою.,ua-ua
2.0,Чоловіки ось-ось заб'ють на турнірі з водного поло.,Два чоловіки готуються до змагання.,ua-ua
2.2,"Чоловік сидить на лавці та п’є з кружки, оточений килимами.",Чоловік сидить на одній з двох червоних лавок і дивиться у кіоск.,ua-ua
2.8,"Чоловік їсть попкорн, дивлячись мультфільми пізно вночі.",Чоловік і дівчинка дивляться мультики вдома.,ua-ua
3.2,Троє чоловіків сидять на лавці.,Двоє чоловіків сидять на лавці.,ua-ua
0.8,Дорога довга.,На узбіччі дороги нічого немає.,ua-ua
2.0,"Маленький блондинистий хлопчик з'їжджає з синього гірки на ігровому майданчику, головою попереду до іншого блондинистого хлопця.","Хлопчик з волоссям, що стирчить, ковзає по блакитній гірці.",ua-ua
1.2,Чотири жінки готуються до майбутнього матчу.,Жінки беруть участь у виставі.,ua-ua
1.8,молодий чоловік у білій футболці та зелених і чорних шортах стоїть на пеньку.,Чоловік у білій сорочці та червоно-чорних шортах бігає тротуаром.,ua-ua
4.0,чоловік на сходах,Чоловік сидить на сходах.,ua-ua
2.2,Собака під сходами.,Собака відпочиває на сходах.,ua-ua
1.0,Є молода дівчина.,З жінкою є молодий хлопчик.,ua-ua
4.2,Дві жінки проводять демонстрацію на ярмарку епохи Відродження.,Двоє людей демонструють свої вміння на ярмарку епохи Відродження.,ua-ua
4.2,"Жінка малює картину великої будівлі, яка видно на фоні.","Людина малює картину з великим будівлею, яке видно на задньому плані.",ua-ua
5.0,Якийсь хлопець сидить на дивані і дивиться телевізор.,Хлопець сидить на дивані і дивиться телевізор.,ua-ua
1.2,Жінка позує для різдвяної листівки.,Дівчина фотографує.,ua-ua
3.4,Двоє дітей грають у настільний футбол.,Діти грають один з одним.,ua-ua
4.0,Чоловік у безлюдному полі.,Чоловік на вулиці в полі.,ua-ua
4.8,Хлопчик п'є сік з пакета.,Хлопчик п’є сік із пакетика.,ua-ua
0.4,"Чоловік приготував свої лижі для поля, щоб воно замерзло.","Чоловік на човні готується витягти свої сітки, щоб подивитися, що впіймав.",ua-ua
4.4,Мотоцикліст виконує небезпечні трюки.,Мотоцикліст виконує трюки.,ua-ua
0.4,Музикант намазує джем на свою білу гітару під час концерту.,Тромбоністка грає на своєму інструменті в оркестрі під час параду.,ua-ua
2.8,Чоловік працює на своїй фермі.,"Старший чоловік працює на своїй фермі, і корова його штовхає.",ua-ua
0.0,"Пара молодих хлопчиків у майках ховається в лісі, один з них виглядає враженим.",Дві усміхнені маленькі дівчатка грають у фонтані з іншими людьми.,ua-ua
3.0,Група людей грає у футбол на футбольному полі перед натовпом.,"Група чоловіків грає у футбол на стадіоні, заповненому людьми.",ua-ua
4.6,"Чоловік із задоволенням спостерігає, як три азійські дітини танцюють.","Чоловік спостерігає, як троє азіатських дітей танцюють.",ua-ua
4.4,Дівчина розмовляє зі своїм татом по мобільному телефону.,Дівчина розмовляє по телефону.,ua-ua
4.4,Одна людина тримає парасольку.,Одна людина тримає парасольку.,ua-ua
0.4,Жінка йде по узбіччю шосе.,Чоловік стоїть на одній нозі на мосту.,ua-ua
3.6,Група підлітків стрибає і веселиться.,Група дітей дуже весело проводить час.,ua-ua
1.4,"Чоловік, що викликає таксі в аеропорту в сонячний день.",Чоловік на вулиці в липневий день.,ua-ua
1.2,Чоловік грає на гітарі в кафе Джо.,Чоловік грає на ударних для своєї мами.,ua-ua
3.0,Маленький хлопчик має червону рибальську вудку.,Юний хлопець стоїть на мосту з рибальським вудочкою.,ua-ua
1.6,Гравець відбиває м'яч.,Гравець ловить м'яч.,ua-ua
1.4,Хтось на ковдрі.,Ця людина робить покривало.,ua-ua
2.4,"Чоловіки, які змагаються в конкурсі.",Дві жінки змагаються в конкурсі.,ua-ua
0.0,Щеня на вулиці.,Чоловік у шортах з принтом виконує позу йоги на пляжі.,ua-ua
3.4,У чоловіка помаранчева сорочка.,У жінки є помаранчева сорочка.,ua-ua
0.8,"Дві дитини дивляться на товари, що продаються в магазині метро.",Діти крадуть з магазину.,ua-ua
2.8,Малюк хоче до мами.,Маленький хлопчик радий бачити свою маму.,ua-ua
1.6,Молоденька дівчинка в рожевій куртці грає в настільну гру.,Хлопчик у куртці грає.,ua-ua
1.6,"Посміхається Caucasian чоловік у блакитній та чорній смугастій сорочці, збирається зробити фотографію.",Чоловік у білий сорочці та чорних штанах усміхається.,ua-ua
0.2,Особа лізе по скельній стіні.,Особа і кінь знаходяться над парканом.,ua-ua
3.2,Хлопець дуже близький до дівчини.,"Дівчина близько хлопця, чий обличчя не показане.",ua-ua
2.2,Двоє чоловіків грають у гру в Скрабл.,Дві жінки грають у гру.,ua-ua
1.6,Шестеро дітей прибирають кімнату.,Двоє хлопчиків прибирають листя на парковці.,ua-ua
2.0,Дівчина дуже талановита і багато практикується.,Чоловік дуже вмілий.,ua-ua
0.4,Багато охоронців стоять перед стартовою лінією гонки.,Двоє чоловіків у діловому вбранні стоять біля дороги.,ua-ua
5.0,"Є кухар, який готує їжу.",Кухар готує їжу.,ua-ua
3.6,Двоє чоловіків допомагають хлопчику.,Двоє чоловіків з молодою дитиною.,ua-ua
4.8,Чоловік на фермерському ринку.,Чоловік на фермерському ринку.,ua-ua
2.0,Чотири людини йдуть у напрямку до вежі.,Двоє чоловіків йдуть до будівлі у формі купола.,ua-ua
0.2,Хлопчик і дівчинка читають книжки.,"Стара дитина грає з лялькою, дивлячись у вікно.",ua-ua
3.8,Дитина хоче поплавати.,Діти хочуть плавати.,ua-ua
3.6,Двоє лижників займаються лижними перегонами.,Люди катаються на лижах на довгі дистанції.,ua-ua
0.4,Собака справляє нужду на вулиці.,Чоловік робить іграшки з повітряних кульок для двох дітей на вуличному розі.,ua-ua
2.2,Чоловіки б'ються після баскетбольного матчу.,Чоловіки грають у баскетбол.,ua-ua
1.8,Дитина розмовляє на уроці.,Дівчина йде на заняття.,ua-ua
1.2,Жінки намагаються щось продати цій людині.,Чоловіки намагаються заробити гроші.,ua-ua
1.2,"Люди чекають, коли почнуться феєрверки.","Троє людей чекають, поки дощ припиниться.",ua-ua
2.2,Собака готується загнати трьох овець з рогами.,Собака й вівця бігають разом.,ua-ua
2.0,"Люди сидять за слабо освітленими столами, усміхаючись і сміючись.",Люди сидять на лавках.,ua-ua
4.0,Собака гонить корів.,Білий пес біжить за коровами.,ua-ua
4.6,Один футболіст намагається зупинити гравця суперницької команди.,Футболіст намагається зробити захист.,ua-ua
1.4,Троє чоловіків намагаються витягти Subaru з ями уздовж гірської дороги.,Двоє чоловіків чекають на підвіз біля dirt дороги.,ua-ua
0.8,"Жінка не піднімає рук, оскільки вона паралізована від шиї вниз.","Жінка сидить на сходах, бо спіткнулася і вивихнула щиколотку.",ua-ua
5.0,Люди зібралися в кімнаті.,Люди зібралися в кімнаті.,ua-ua
2.6,Жінка в робочому комбінезоні малює картину для свого стіни.,Жінка фарбує свою стіну в білий колір.,ua-ua
0.0,Додавання аспірину до води може вбити рослину.,Чоловіки намагаються вилучити油 з водойми.,ua-ua
0.6,П’ятеро дітей стоять перед наметом.,Люди сидять перед садом.,ua-ua
1.2,Жінка в винному футболці спілкується з іншою жінкою в бежевому блейзері.,"Дівчина в синій сукні та інша дівчина в фіолетовій сукні, обидві усміхаються.",ua-ua
1.6,Бейсбольні гравці грають у гру в парку.,"Баскетболіст, який грає в домашньому матчі.",ua-ua
0.0,Вони готуються до виступу в школі.,Двоє медичних працівників у зеленому спостерігають за чимось.,ua-ua
2.8,Жінка в жовтому.,Жінка в червоному.,ua-ua
0.6,Деякі усміхнені діти стоять перед заходом сонця над океаном.,Люди йдуть темрявою.,ua-ua
3.2,Чоловік робить трюк на своєму велосипеді.,Чоловік робить виліт на своєму мотоциклі.,ua-ua
1.6,Десять людей катаються на квадроциклах.,Чотири людини їдуть на велосипедах.,ua-ua
3.0,Двоє рибалок намагаються розплутати свою велику риболовну мережу на узбіччі дороги в похмурий день.,Декілька чоловіків витягують рибальську сітку на берег.,ua-ua
0.2,Особа в жовтому жилеті займається дорожніми роботами.,Людина дуже добре катається на скейтборді.,ua-ua
2.4,У жінки було коричневе волосся.,У жінки сиве волосся.,ua-ua
0.6,"Чорно-біле зображення хвилі, що розбивається об океан.",маленький чорний собака в океані з кількома скелями на фоні,ua-ua
4.6,Жінка та її донька дивляться через мікроскоп.,Дівчина і жінка обидві заглядають в мікроскоп.,ua-ua
3.8,Двоє робітників сидять поруч із трубами і обідають.,Будівельники сідають обідати.,ua-ua
0.6,Хлопець виконує трюк на скейтборді на сходах у центрі міста.,Хлопчик біжить тротуаром.,ua-ua
4.0,"Група людей, що живе в пустелі.",Група людей посеред пустелі.,ua-ua
2.8,Двоє дітей плавають.,Шестеро дітей йдуть плавати.,ua-ua
4.8,Троє людей гуляють з собакою.,Троє людей гуляють з собакою.,ua-ua
5.0,На вулиці є люди.,Люди на вулиці.,ua-ua
5.0,"люди, які перуть свої брудні речі",Люди чистять свої одяги.,ua-ua
0.2,Дві жінки загубилися і кличуть на допомогу.,"Два азійці збирають матеріали для свого бізнесу, а їхня дитина повинна була піти з ними.",ua-ua
0.6,Чоловік кидає монету в фонтан.,Маленький хлопчик кидає чоловіка у воду.,ua-ua
3.4,Діти тримають музичні інструменти.,Група дітей співає та грає на музичних інструментах.,ua-ua
0.8,Дві дівчинки грають у лікарів у себе вдома.,Дві дівчинки йдуть зі своїм татом.,ua-ua
3.6,Група чоловіків у футболках з паперовими номерами біжить у гонці.,"Кілька чоловіків біжать по трав’яній площі, на грудях у них номери.",ua-ua
2.8,Група людей в поліцейських формах проводить арешт.,Група поліцейських одягнена в захисне спорядження.,ua-ua
0.0,"Фрукти слід вживати з лимонним соком, щоб запобігти окисленню в шлунку.",три собаки гарчать одна на одну,ua-ua
4.4,Лікар призначає ліки пацієнту.,Лікар виписує ліки.,ua-ua
4.6,Жінка в ванній.,Жінка в ванній.,ua-ua
2.8,Глядачі фотографують ралійний автомобіль.,Юрба людей спостерігає за гонками автомобілів на треку.,ua-ua
4.0,Чоловік і жінка відпочивають на дивані.,Чоловік і жінка сплять на дивані.,ua-ua
1.4,Чоловік планує зняти весілля.,Жінка йде на весілля.,ua-ua
1.0,Хлопець у зеленому джерсі грає воротарем у футбольній команді.,Команда в синьому грає матч проти команди в білому.,ua-ua
1.2,Дитячий велосипед замочився.,Вона прибирає велосипед.,ua-ua
3.2,Солдат вигулює собаку.,Чоловік вигулює собаку.,ua-ua
3.0,Жінка без футболки управляє газонокосаркою.,Дівчина косить траву газонокосилкою.,ua-ua
5.0,Люди біля води.,Люди поруч з водою.,ua-ua
2.2,Два офіцери їдуть.,Двоє офіцерів на конях.,ua-ua
0.4,Друзі заходять у будівлю.,Чоловік іде по тротуару до магазину.,ua-ua
2.0,"Жінка виглядає сумною, бо ніхто не купує її товари.",Жінка продає речі.,ua-ua
0.8,Ролики рухаються.,Два автомобілі рухаються у бік камери.,ua-ua
0.4,Поряд з вікном стоїть старший чоловік.,Хлопчик біля сходів.,ua-ua
0.0,Хлопець і дівчина займаються скелелазінням з рюкзаками.,"Двоє хлопчиків їдуть на іграшці, а поряд з ними біжить блондинка.",ua-ua
1.6,В Абу-Дабі Золотий ринок є одним з найкращих відкритих торгових районів.,Біляста площа в місті азійської країни.,ua-ua
1.6,Вагітна жінка в родах.,Жінка має дитину.,ua-ua
3.8,Стадо птахів зависло над піщаним пляжем.,Птахи літають на пляжі.,ua-ua
1.6,Люди йдуть додому.,Люди чекають.,ua-ua
3.6,Релігійні люди насолоджуються природою.,Група людей насолоджується відпочинком на природі.,ua-ua
3.0,Дівчина у воді без окулярів для плавання чи шапочки.,"Дівчина у воді, з окулярами для плавання і купальником.",ua-ua
2.8,Чоловік виконує трюк на свіжому повітрі.,Молодий чоловік на пляжі виконує трюки на скейтборді.,ua-ua
4.8,Чоловік сміється з жінкою.,Чоловік і жінка сміються.,ua-ua
1.2,Він ось-ось забіжить у човен.,"Чоловік чистить свій човен, щоб вивезти його на воду.",ua-ua
2.4,У полі дві корови.,Дві вівці в полі.,ua-ua
1.8,Сира дитина насолоджується літом.,Жінка насолоджується літньою погодою.,ua-ua
0.2,На даху залишилася дівчина.,Пара була на ліжку.,ua-ua
1.0,"Є четверо сноубордингистів, які розганяються на трампліні і перебувають у повітрі.",Два гонщики під'їжджають до повороту.,ua-ua
2.6,Дівчина має водійські права.,Чоловік має водійське посвідчення.,ua-ua
3.8,Люди на мотоциклах у гоночному екіпіруванні їздять по гоночній трасі.,Люди на мотоциклах їздять по гоночній трасі.,ua-ua
1.2,Чоловік стоїть на землі з пензлем.,Чоловік з милицею лежить на землі.,ua-ua
0.2,Діти в театрі дивляться фільм.,Сьогодні у хлопців день фотографій.,ua-ua
3.8,Дві жінки йдуть тротуаром до магазину.,Дві жінки йдуть тротуаром в по обіді.,ua-ua
2.4,Чоловік несе сина на спині.,Чоловік проводив час зі своїм сином.,ua-ua
0.4,Група людей з темною шкірою проходить повз колючий дріт.,Дві жінки балакають біля огорожі.,ua-ua
3.4,"Зомбі, що ходять вулицями та їдять мізки.",Зомбі разом поїдають плоть.,ua-ua
4.2,Група людей сидить на пляжі на рушниках і спостерігає за «Блакитними ангелами».,"Група людей сидить на пляжі та спостерігає за ""Синіми Ангелами"".",ua-ua
1.4,Баскетболіст зробив п'яте підбирання цієї ночі.,Тенісист у середині гру.,ua-ua
2.4,Троє людей зустрічаються на каву.,Двоє людей готують каву.,ua-ua
0.8,В фоні є молода дівчинка з брудом на обличчі та червоним дитячим велосипедом.,"Стара жінка в шортах і білому футболці стоїть на стежці і спостерігає, як діти грають.",ua-ua
2.8,Вертоліт готується до злету.,Літак готується до вильоту.,ua-ua
4.4,Ряд самокатів припаркувалися посеред вулиці.,Ряд мотоциклів припарковані посеред вулиці.,ua-ua
3.0,"Чоловік, який тримає кота.",Чоловік тримає собаку.,ua-ua
3.0,"Чоловік, який виконує трюк на велосипеді, стрибаючи серед дерев.",Хлопець їде на зеленому трюковому велосипеді по сходах на вулиці.,ua-ua
1.6,"Троє хлопців у спідниках відпочивають на рейлінгу човна, засмагаючи.",Декілька чоловіків на палубі скидають іншого чоловіка у воду.,ua-ua
2.8,"Група, що перебирається через відьму.","Група, яка переходитить через рівчак.",ua-ua
4.0,Жінка стрибає та позує для камери.,Жінка позує для камери.,ua-ua
0.8,Чоловік на даху.,Чоловік тримає мікрофон у кімнаті.,ua-ua
2.0,Двоє чоловіків стоять біля стіни.,Три жінки сидять біля стіни.,ua-ua
2.0,Коти біжать по траві.,Деякі собаки бігають у парку.,ua-ua
3.0,"Два хлопці грають у кікбол, перекидаючи м'яч один одному.","Гравці б’ють один одного, намагаючись вдарити по м'ячу.",ua-ua
2.2,Дві дівчини біжать.,Троє хлопців бігають.,ua-ua
4.4,Двоє чоловіків носять джинси.,Двоє чоловіків одягнені в штани.,ua-ua
1.8,Дівчинка в білосніжній блузці та синіх штанях грається на траві.,Жінка в зеленій сорочці та білих штанах грає в гольф на зеленому полі.,ua-ua
4.6,Чоловік без сорочки стрибає.,"Чоловік, що стрибає, не має на собі сорочки.",ua-ua
2.4,Жінка тримає руки чоловіка.,Жінка перевіряє очі чоловіка.,ua-ua
4.4,Чоловік вигулює свого собаку на пляжі.,Чоловік зі своїм собакою на пляжі.,ua-ua
0.8,Дитина є дитиною жінки.,Є хлопчик і дівчинка.,ua-ua
3.8,Футболіст б'є по м'ячу.,Футболіст вдарив по м'ячу з високого підйому.,ua-ua
1.4,Двоє хлопців у чорних плавках тримають іншого хлопця за руки і ноги на пляжі.,"Чоловік у білій сорочці перевертає молодого хлопчика у воді, а навколо них четверо інших хлопців.",ua-ua
2.8,Гравець забиває переможні очки.,Баскетболіст ось-ось набере очки для своєї команди.,ua-ua
2.8,Чоловік в білосніжній сорочці та капелюсі грає на гітарі.,Чоловік у зеленій сорочці та чорному капелюсі грає на гітарі на сцені.,ua-ua
2.8,"Чоловік у чорному капюшоні користується великою лупою, щоб розглядати буклет.",Жінка в білому капюшоні розглядає буклет за допомогою збільшувального скла.,ua-ua
5.0,Люди біжать марафон.,Люди бігають марафон.,ua-ua
3.0,"Мотоцикліст, який проїжджає під час гонки.",Перегоночний гонщик виступає в гонці свого життя.,ua-ua
2.2,"Група людей нервує перед тим, як перетнути воду.",Група людей на воді.,ua-ua
1.2,Група дітей влаштувала змагання зі стрибків.,Група дітей влаштувала ночівлю.,ua-ua
1.6,Ворота сині.,Ворота жовті.,ua-ua
1.6,Ця людина носить федору.,Чоловік у формі.,ua-ua
2.8,Жінка і чоловік обіймаються під час перегляду жахів.,Чоловік і жінка дивляться разом фільм.,ua-ua
1.8,Чоловік у синій сорочці.,Чоловік у білій сорочці та синіх штанах розмовляє з жінкою у рожевій сорочці.,ua-ua
2.6,Пара грає в гру Життя.,Сім'я грає в гру разом.,ua-ua
0.2,Голова дитини в темних окулярах в фокусі.,Є жінка з густим волоссям.,ua-ua
1.0,"Собака гуляє уздовж пляжу, де розбиваються хвилі.",Хлопець з веслом виходить з прибою на пляж.,ua-ua
2.6,Пара чоловіків прогулюється узбережжям.,Двоє чоловіків стоять у хвилях на пляжі.,ua-ua
1.6,Блондинка в тунелі.,"Пара, що цілується, знаходиться поруч із блондинкою.",ua-ua
2.4,Чоловік з обслуговування ремонтує сітку на тенісному корті.,Чоловік знімає тенісну сітку.,ua-ua
4.2,Дитина сидить на футбольному м'ячі на вулиці.,Дитина сидить на футбольному м'ячі в парку.,ua-ua
0.2,"Ворона гуділа, коли скакала по траві.",Худий собака з довгим хвостом подорожує полем.,ua-ua
2.2,Чоловік у коричневому пальті торкається носа.,Лисий чоловік з червоною бородою тримає руку біля рота.,ua-ua
1.6,Собака гналась за гусьми.,Одна собака ганяє іншу.,ua-ua
0.8,Маленька дитина грає з літерою П.,"Дві молоді дівчинки сидять перед книжковою шафою, і одна з них читає книгу.",ua-ua
5.0,Коричневий собака стрибає.,Коричневий пес стрибає.,ua-ua
3.0,Чоловік ловить м'яч.,Чоловік б'є м'яч ногою.,ua-ua
3.0,Двоє чоловіків сидять у кімнаті.,Двоє чоловіків стоять у кімнаті.,ua-ua
1.2,Група підлітків у червоних футболках усміхається.,Група людей у помаранчевих футболках.,ua-ua
3.2,Жінка чекає на своє побачення.,Жінка по дорозі на побачення.,ua-ua
