score,sentence1,sentence2,lang
1.4,Жінка копає в піску.,Чоловік закопаний у піску.,ua-ua
1.8,Жінка керує гольф-каром.,Чоловік їде на возі.,ua-ua
4.2,Жінка стрибає з банджі.,Дівчина стрибає з банджі.,ua-ua
1.2,"Клоун виступає перед братом і сестрою, поки решта гостей дивляться.","Блондин виконує мелодію на трубі перед будинком, поки його молодший брат спостерігає.",ua-ua
1.6,Людина знімає природу.,На вулиці є пара.,ua-ua
3.8,"Людина, яка їде на скейтборді.",Дитина катається на скейтборді.,ua-ua
1.0,Жінка в картатому вбранні переглядає сумку з продуктами.,"Це фотографія жінки у квітчастій сукні, яка несе щось у відрі.",ua-ua
3.4,Чотири дівчини радісно йдуть по тротуару.,Три молоді дівчата йдуть тротуаром.,ua-ua
1.2,Тенісист вдарив м'яч у космос і розбив Зірку Смерті.,"Тенісистка підстрибує в повітря, щоб вдарити по м'ячу.",ua-ua
4.0,Хлопець підіймається на лісовий пагорб.,Хлопчик підіймається на пагорб.,ua-ua
2.4,група морських котиків співає,Група військовослужбовців грає в мідному квінтеті.,ua-ua
2.0,Блондин стрибає на терасу.,Хлопчик стрибає вниз по мокрій надувній гірці.,ua-ua
2.6,"Чоловік використовує бензопилу, щоб вирізати фалічну скульптуру з льоду.","Чоловік користується бензопилою, щоб вирізати дерев'яну скульптуру.",ua-ua
3.8,Група чоловіків-будівельників ремонтує залізничні колії в похмурий день.,Бригада робітників працює на залізничній колії.,ua-ua
3.2,Чоловік грає на скрипці під дощем.,Чоловік грає на гітарі під дощем.,ua-ua
2.2,Люди виходять з літака.,Люди заходять у літак.,ua-ua
4.4,Собаки женуться за котом.,Собаки женуться за чорною кішкою.,ua-ua
2.6,У дівчини щось на голові.,Жінка має щось із собою.,ua-ua
2.6,рудий собака грається з червоним собакою на снігу,Жовтий собака грається в снігу.,ua-ua
0.2,Люди зводять конструкцію з карт.,"Двоє людей разом, і один з них використовує предмет одягу не за призначенням.",ua-ua
0.2,дівчина з вазами на фоні всередині її будинку,"Дівчинка стоїть, а інша дівчинка в окулярах малює на її руці.",ua-ua
3.0,На вулиці четверо людей.,П'ятеро людей на вулиці.,ua-ua
3.2,"Людина, що сидить в офісі, робить фотографію.",Жінка сидить в офісі.,ua-ua
1.8,Дівчата тримаються за руки в синьому одязі.,Молоді люди одягнені в джинси з червоними і зеленими сорочками.,ua-ua
2.2,"Люди стрибають зі скель у воду, а на задньому плані рибалять.",Двоє людей спостерігають за водою.,ua-ua
0.6,"Чоловік демонструє, як працювати з глиною, а принаймні двоє людей спостерігають.",Принаймні одна з трьох жінок розмовляє з іншими.,ua-ua
0.6,На собаці є светр.,Чоловік у піджаку сидить на червоному дивані з котом.,ua-ua
5.0,Блондинка шукає в валізі медичні засоби для роботи.,Блондинка шукає медичні припаси у валізі.,ua-ua
5.0,Хлопець складає тест у школі.,Хлопець складає тест у школі.,ua-ua
2.2,Старий чоловік у капелюсі стоїть біля дверей магазину.,чоловік у занадто великій сорочці сидить у магазині,ua-ua
0.2,Скульптор наносить бетон на велику статую людської фігури без голови.,"Людина стоїть перед будівлею, високо піднявши фанеру.",ua-ua
0.6,Хлопчик з темним волоссям у воді і дивиться вгору.,У цього чоловіка коротке волосся.,ua-ua
0.2,"Позаду людини, яка грає в хованки з дитиною, стоїть стовп.",Там дитина з м'ячем.,ua-ua
1.0,Жінка ось-ось почне малювати.,Хлопець збирається зробити фото.,ua-ua
0.4,Карету тягне кінь.,Чоловік їде на велосипеді біля будівлі.,ua-ua
3.4,"чоловік, який працює на сталеливарному заводі","Чоловік, який працює на ливарні.",ua-ua
1.4,Молода жінка фліртує з молодим хлопцем.,Дівчина молода і весела.,ua-ua
1.0,"Жінка дивиться на качку, коли йде за нею.",Жінка йде на прогулянку зі своїм собакою.,ua-ua
2.0,Чоловіки ось-ось здобудуть гол у турнірі з водного поло.,Двоє чоловіків ось-ось змагатимуться в матчі.,ua-ua
2.2,"Чоловік сидить на лавці й п'є з кухля, оточений килимами.",Чоловік сидить на одній з двох червоних лавок і дивиться в кіоск.,ua-ua
2.8,"Чоловік їсть попкорн, дивлячись мультики пізно вночі.",Чоловік і дівчинка дивляться вдома мультфільми.,ua-ua
3.2,Троє чоловіків сидять на лавці.,Двоє чоловіків сидять на лавці.,ua-ua
0.8,Дорога довга.,Немає нічого на узбіччі дороги.,ua-ua
2.0,Маленький білявий хлопчик з'їжджає головою вперед по синій гірці на дитячому майданчику в бік іншої білявої дитини.,"Маленький хлопчик з волоссям, що стирчить, спускається по синій гірці.",ua-ua
1.2,Чотири жінки тренуються до майбутнього матчу.,Жінки грають у виставі.,ua-ua
1.8,молодий чоловік в білому футболці та зелених з чорним шортах стоїть на пеньку.,Чоловік у білій сорочці та червоно-чорних шортах біжить тротуаром.,ua-ua
4.0,чоловік на сходах,Чоловік сидить на сходах.,ua-ua
2.2,Собака під сходами,Собака відпочиває на сходах.,ua-ua
1.0,Є молода дівчинка.,З жінкою знаходиться молодий хлопчик.,ua-ua
4.2,Дві жінки проводять демонстрацію на Ярмарку Відродження.,Двоє людей проводять показ на ярмарку епохи Відродження.,ua-ua
4.2,"Жінка малює картину великої будівлі, яку видно на задньому плані.","Людина малює картину великої будівлі, яку видно на задньому плані.",ua-ua
5.0,Якийсь хлопець сидить на дивані та дивиться телевізор.,Хлопець сидить на дивані та дивиться телевізор.,ua-ua
1.2,Жінка позує для різдвяної листівки.,Дівчина робить фото.,ua-ua
3.4,Двоє дітей грають у настільний футбол.,Діти грають у гру один з одним.,ua-ua
4.0,Чоловік знаходиться на безлюдному полі.,Чоловік на вулиці в полі.,ua-ua
4.8,Маленький хлопчик п'є з пакета соку.,Хлопчик п'є сік з пакета.,ua-ua
0.4,"Чоловік підготував свої лижі, щоб вийти на засніжені поля.","Чоловік на човні готується підняти сітку, щоб дізнатися, що він зловив.",ua-ua
4.4,Мотоцикліст виконує небезпечні трюки.,Байкер виконує трюки.,ua-ua
0.4,Музикант мажує джем на свою білу гітару на концерті.,Тромбоністка грає на своєму інструменті в оркестрі для параду.,ua-ua
2.8,Чоловік працює на своїй фермі.,"Старий чоловік працює на своєму господарстві, і корова його б'є.",ua-ua
0.0,"Пара хлопчиків у футболках ховається в лісі, і один виглядає враженим.",Дві усміхнені маленькі дівчинки граються у фонтані разом з іншими людьми.,ua-ua
3.0,Група людей грає у футбол на полі перед глядачами.,"Група чоловіків грає у футбол на стадіоні, повному людей.",ua-ua
4.6,"Чоловік із задоволенням дивиться, як танцюють троє азійських дітей.","Чоловік дивиться, як три азійські діти танцюють.",ua-ua
4.4,Дівчина розмовляє з батьком по мобільному телефону.,Дівчина розмовляє по телефону.,ua-ua
4.4,Одна людина тримає парасольку.,Одна людина тримає парасольку.,ua-ua
0.4,Жінка йде узбіччям шосе.,Чоловік стоїть на одній нозі на мосту.,ua-ua
3.6,Група підлітків стрибає та весело проводить час.,Група дітей весело проводить час.,ua-ua
1.4,Чоловік викликає таксі в аеропорту в сонячний день.,Чоловік на вулиці у липневий день.,ua-ua
1.2,Чоловік грає на гітарі в кафе Джо.,Чоловік грає на барабанах для своєї мами.,ua-ua
3.0,У хлопчика є червона вудка для риболовлі.,Молодий хлопчик стоїть на мосту з вудкою.,ua-ua
1.6,Гравець відбиває м'яч.,Гравець ловить м'яч.,ua-ua
1.4,Хтось на ковдрі.,Людина створює ковдру.,ua-ua
2.4,Чоловіки змагаються в конкурсі.,Дві жінки змагаються в конкурсі.,ua-ua
0.0,Цуценя на вулиці.,Чоловік у принтованих шортах виконує позу йоги на пляжі.,ua-ua
3.4,У чоловіка помаранчева сорочка.,Жінка має помаранчеву сорочку.,ua-ua
0.8,"Двоє дітей дивляться на товари, що продаються в магазині метро.",Діти крадуть у магазині.,ua-ua
2.8,Маленький хлопчик хоче свою маму.,Маленький хлопчик радий бачити свою маму.,ua-ua
1.6,Молода дівчина в рожевій куртці грає в настільну гру.,Хлопчик у куртці грається.,ua-ua
1.6,Усміхнений чоловік європеоїдної зовнішності в синьо-чорній смугастій сорочці збирається зробити фотографію.,Чоловік у білій сорочці та чорних штанах усміхається.,ua-ua
0.2,Людина піднімається по скельній стіні.,Людина та кінь знаходяться над парканом.,ua-ua
3.2,Хлопчик дуже близький до дівчини.,"Дівчина близько до хлопця, обличчя якого не видно.",ua-ua
2.2,Двоє чоловіків грають разом у Скребл.,Дві жінки грають у гру.,ua-ua
1.6,Шестеро дітей прибирають кімнату.,Двоє хлопчиків прибирають листя на автостоянці.,ua-ua
2.0,Дівчина дуже талановита і багато тренується.,Цей чоловік дуже вмілий.,ua-ua
0.4,Багато охоронців стоять перед стартовою лінією перегонів.,Два чоловіки в діловому одязі стоять біля дороги.,ua-ua
5.0,Кухар готує їжу.,Кухар готує їжу.,ua-ua
3.6,Двоє чоловіків допомагають хлопчику.,Двоє чоловіків з маленькою дитиною.,ua-ua
4.8,Чоловік на фермерському ринку.,Чоловік на фермерському ринку.,ua-ua
2.0,чотири людини йдуть до вежі,Двоє чоловіків йдуть у напрямку до куполоподібної будівлі.,ua-ua
0.2,Маленька дівчинка і хлопчик читають книги.,"Старша дитина грається лялькою, дивлячись у вікно.",ua-ua
3.8,Дитина хотіла б поплавати.,Діти хочуть плавати.,ua-ua
3.6,Двоє людей займаються біговими лижами.,Люди катаються на лижах по пересіченій місцевості.,ua-ua
0.4,Собака випорожнюється на вулиці.,Чоловік на розі вулиці робить для дітей фігурки з повітряних кульок.,ua-ua
2.2,Чоловіки б'ються після баскетбольного матчу.,Чоловіки грають у баскетбол.,ua-ua
1.8,Дитина говорить на уроці.,Дівчина йде на заняття.,ua-ua
1.2,Жінки намагаються щось продати цій людині.,Чоловіки намагаються заробити трохи грошей.,ua-ua
1.2,"Люди чекають, коли почнеться феєрверк.","Троє людей чекають, коли дощ припиниться.",ua-ua
2.2,Собака готується пасти трьох овець з рогами.,Собака і вівця біжать разом.,ua-ua
2.0,"Люди сидять за слабо освітленими столами, усміхаючись і сміючись.",Люди сидять на лавках.,ua-ua
4.0,Собака жене корів.,Білий собака женеться за коровами.,ua-ua
4.6,Один футболіст намагається перехопити гравця команди суперників.,Футболіст намагається виконати підкат.,ua-ua
1.4,Троє чоловіків намагаються витягнути Subaru з кювету на гірській дорозі.,Двоє чоловіків чекають на поїздку біля ґрунтової дороги.,ua-ua
0.8,"Жінка не піднімає руки, тому що вона паралізована від шиї вниз.","Жінка сидить на сходах, бо спіткнулася і пошкодила щиколотку.",ua-ua
5.0,Люди зібралися в кімнаті.,Люди зібралися разом у кімнаті.,ua-ua
2.6,Жінка в комбінезоні малює картину для своєї стіни.,Жінка фарбує свою стіну в білий колір.,ua-ua
0.0,Додавання аспірину у воду може вбити рослину.,Чоловіки намагаються видалити нафту з водойми.,ua-ua
0.6,П'ятеро дітей стоять перед наметом.,Люди сидять перед садом.,ua-ua
1.2,Жінка в бордовій сорочці веде розмову з іншою жінкою в світло-коричневому піджаку.,"Дівчина в синій сукні та інша дівчина в фіолетовій, обидві усміхаються.",ua-ua
1.6,Бейсболісти грають у матч у парку.,"Баскетболіст, який грає в матчі з нагоди повернення на рідне поле.",ua-ua
0.0,Вони готуються до виступу в школі.,Двоє медичних фахівців в зеленому дивляться на щось.,ua-ua
2.8,Жінка одягнена в жовте.,Жінка одягнена в червоне.,ua-ua
0.6,Декілька усміхнених дітей стоять перед океанським заходом сонця.,Люди йдуть у темряві.,ua-ua
3.2,Чоловік виконує трюк на своєму велосипеді.,Чоловік виконує вилі на своєму мотоциклі.,ua-ua
1.6,Десятеро людей катаються на квадроциклах.,Четверо людей їдуть на велосипедах.,ua-ua
3.0,Двоє рибалок намагаються розплутати свою велику рибальську сітку на узбіччі дороги в похмурий день.,Кілька чоловіків витягують рибальську сітку на пляж.,ua-ua
0.2,Людина в жовтому жилеті працює на дорозі.,Людина чудово катається на скейтборді.,ua-ua
2.4,Жінка мала каштанове волосся.,Жінка має сиве волосся.,ua-ua
0.6,"Чорно-біле зображення хвилі, що розбивається в океані.",маленька чорна собака в океані на фоні кількох скель,ua-ua
4.6,Жінка з донькою дивляться в мікроскоп.,Дівчина і жінка обидві дивляться в мікроскоп.,ua-ua
3.8,Двоє робітників сидять біля труб і їдять обід.,Будівельники сідають обідати.,ua-ua
0.6,Хлопець виконує трюк на скейтборді на сходах у центрі міста.,хлопчик біжить по тротуару,ua-ua
4.0,"Група людей, що живе в пустелі",Група людей посеред пустелі.,ua-ua
2.8,Двоє дітей плавають.,Шестеро дітей йдуть плавати.,ua-ua
4.8,Троє людей гуляють із собакою.,Троє людей вигулюють собаку.,ua-ua
5.0,На вулиці є люди.,Люди вийшли на вулицю.,ua-ua
5.0,"люди, які здають свій брудний одяг у прання",Люди віддають одяг у хімчистку.,ua-ua
0.2,Дві жінки заблукали і кличуть на допомогу.,"Двоє азійських чоловіків збирають матеріали для свого бізнесу, і їхня дитина мусила поїхати з ними.",ua-ua
0.6,Чоловік кидає монету у фонтан.,Маленький хлопчик кидає чоловіка у воду.,ua-ua
3.4,Діти тримають музичні інструменти.,Група дітей співає та грає на інструментах.,ua-ua
0.8,Дві дівчинки грають у лікаря вдома.,Дві дівчинки йдуть зі своїм батьком.,ua-ua
3.6,Натовп чоловіків з паперовими номерами на сорочках біжать у гонці.,Кілька чоловіків біжать по трав'яному полю з номерами на передній частині футболок.,ua-ua
2.8,Група людей у поліцейській формі проводить арешт.,Група поліцейських одягнені в захисне спорядження.,ua-ua
0.0,"Фрукти слід їсти з лимонним соком, щоб запобігти окисленню в шлунку.",три собаки гарчать одна на одну,ua-ua
4.4,Лікар призначає пацієнту ліки.,Лікар призначає ліки.,ua-ua
4.6,Жінка у ванній кімнаті.,Жінка у ванній кімнаті.,ua-ua
2.8,Глядачі фотографують ралійний автомобіль.,"Натовп людей спостерігає, як машини мчать трасою.",ua-ua
4.0,Чоловік і жінка відпочивають на дивані.,Чоловік і жінка сплять на дивані.,ua-ua
1.4,чоловік планує знімати весілля,жінка йде на весілля.,ua-ua
1.0,Хлопець у зеленій футболці грає воротарем у футбольній команді.,Команда в синьому грає матч проти команди в білому.,ua-ua
1.2,Дитячий велосипед намок.,Вона прибирає велосипед.,ua-ua
3.2,Солдат вигулює собаку.,Чоловік вигулює собаку.,ua-ua
3.0,Жінка без сорочки косить газонокосаркою.,Дівчина косить траву газонокосаркою.,ua-ua
5.0,Люди біля води.,Люди біля води.,ua-ua
2.2,Два офіцери керують автомобілем.,Двоє офіцерів на конях.,ua-ua
0.4,Друзі заходять у будівлю.,чоловік іде тротуаром до магазину,ua-ua
2.0,"Дівчина виглядає сумною, бо ніхто не купує її товари.",Пані продає речі.,ua-ua
0.8,Ролики рухаються.,Два транспортні засоби рухаються в напрямку камери.,ua-ua
0.4,Біля вікна стоїть літній чоловік.,Хлопчик біля сходів.,ua-ua
0.0,Хлопець і дівчина займаються скелелазінням з рюкзаками.,"Двоє хлопців катаються на іграшці, а поруч з ними біжить дівчинка з білявим волоссям.",ua-ua
1.6,В Абу-Дабі Золотий ринок є однією з найкращих публічних відкритих торгових зон.,Жвава міська площа в азійській країні.,ua-ua
1.6,Вагітна жінка народжує.,жінка має дитину.,ua-ua
3.8,Зграя птахів кружляла над піщаним пляжем.,Птахи летять над пляжем.,ua-ua
1.6,люди йдуть додому,Люди чекають.,ua-ua
3.6,Віруючі насолоджуються природою.,Група людей насолоджується природою.,ua-ua
3.0,Дівчина у воді без окулярів та шапочки для плавання.,"Дівчина у воді, з окулярами та плавальною шапочкою.",ua-ua
2.8,Чоловік виконує трюк на вулиці.,Молодий чоловік на пляжі виконує трюки на скейтборді.,ua-ua
4.8,Чоловік сміється з жінкою.,Чоловік і жінка сміються.,ua-ua
1.2,Він ось-ось вріжеться в човен.,"Чоловік чистить свій човен, щоб вивести його на воду.",ua-ua
2.4,Дві корови на полі.,Дві вівці у полі.,ua-ua
1.8,Мокра дитина насолоджується літом.,Жінка насолоджується літньою погодою.,ua-ua
0.2,На даху опинилася дівчина.,Пара була на ліжку.,ua-ua
1.0,Четверо сноубордистів злетіли з трампліна і зараз у повітрі.,Двоє гонщиків наближаються до повороту.,ua-ua
2.6,Дівчина має водійські права.,У чоловіка є водійське посвідчення.,ua-ua
3.8,Люди на мотоциклах у гоночному спорядженні їздять по гоночній трасі.,Люди на мотоциклах катаються по гоночному треку.,ua-ua
1.2,Чоловік стоїть на землі з пензлем,Чоловік з милицями лежить на землі.,ua-ua
0.2,Діти в театрі дивляться фільм.,сьогодні у хлопців день фотографії,ua-ua
3.8,Дві жінки йдуть тротуаром до магазину.,Дві жінки гуляють тротуаром вдень.,ua-ua
2.4,Чоловік несе сина на спині.,Чоловік провів час зі своїм сином.,ua-ua
0.4,Група темношкірих людей проходить повз колючий дріт.,Дві жінки пліткують біля паркану.,ua-ua
3.4,"Зомбі влаштували парад, поїдаючи мізки.",Зомбі разом їдять плоть.,ua-ua
4.2,Група людей сидить на пляжі на рушниках і спостерігає за «Блакитними ангелами».,"Група людей сидить на пляжі і дивиться на ""Блакитних Ангелів"".",ua-ua
1.4,Баскетболіст робить п'ятий підбір за вечір.,Тенісист під час гри.,ua-ua
2.4,Троє людей зустрічаються на каву.,Двоє людей готують каву.,ua-ua
0.8,На задньому плані дівчинка з брудом на обличчі та червоним дитячим велосипедом.,"Стара жінка в шортах і білій футболці стоїть на стежці та спостерігає за тим, як граються діти.",ua-ua
2.8,Вертоліт готується злетіти.,Літак готується до зльоту.,ua-ua
4.4,Ряд скутерів припарковані посеред вулиці.,Ряд мотоциклів припаркований посеред вулиці.,ua-ua
3.0,Чоловік тримає кота.,Чоловік тримає собаку.,ua-ua
3.0,Чоловік виконує трюк на велосипеді серед дерев.,Хлопчик їде на зеленому трюковому велосипеді сходами на вулиці.,ua-ua
1.6,Троє хлопців у плавках підняли ноги на поручні човна і засмагають.,Кілька чоловіків на палубі скидають іншого чоловіка у воду.,ua-ua
2.8,Група переходить через відьом.,Група переходить через рів.,ua-ua
4.0,Жінка стрибає та позує для камери.,Жінка позує для камери.,ua-ua
0.8,Чоловік на даху.,Чоловік тримає мікрофон у кімнаті.,ua-ua
2.0,Біля стіни стоять двоє чоловіків.,Три жінки сидять біля стіни.,ua-ua
2.0,Коти біжать крізь траву.,Декілька собак бігають парком.,ua-ua
3.0,"Двоє хлопців грають у м'яч, перекидаючи його один одному.","Гравці штовхають один одного, намагаючись вдарити по м'ячу.",ua-ua
2.2,Дві дівчини біжать.,Троє хлопців біжать.,ua-ua
4.4,Двоє чоловіків одягнені в джинси.,Двоє чоловіків одягнені в штани.,ua-ua
1.8,Маленька дівчинка в білій блузці та синіх штанах грається на траві.,Жінка в зеленій сорочці та білих штанах грає в гольф на газоні.,ua-ua
4.6,Чоловік без сорочки стрибає.,"Чоловік, який стрибає, без сорочки.",ua-ua
2.4,Жінка тримає чоловіка за руки.,Жінка перевіряє очі чоловіка.,ua-ua
4.4,Чоловік вигулює собаку на пляжі.,Чоловік з собакою на пляжі.,ua-ua
0.8,Це дитина жінки.,Є хлопчик і дівчинка.,ua-ua
3.8,Футболіст б'є по м'ячу.,Футболіст сильно вдарив м'яч ногою.,ua-ua
1.4,Двоє хлопців у чорних плавках тримають іншого хлопця за руки й ноги на пляжі.,"Чоловік у білій сорочці перекидає молодого хлопця у воду, а навколо них стоять чотири інших хлопці.",ua-ua
2.8,Гравець забиває вирішальні очки.,Баскетболіст ось-ось принесе очки для своєї команди.,ua-ua
2.8,Чоловік у білiй сорочці та капелюсі грає на гітарі.,Чоловік у зеленій сорочці та чорному капелюсі грає на гітарі на сцені.,ua-ua
2.8,Чоловік у чорному капюшоні дивиться на брошуру через велику лупу.,"Жінка у білому капюшоні використовує збільшувальне скло, щоб розглянути буклет.",ua-ua
5.0,люди біжать марафон,Люди біжать марафон.,ua-ua
3.0,Мотокросовий гонщик проїжджає під час перегонів.,Гонщик бере участь у гонці свого життя.,ua-ua
2.2,Група людей нервує через перехід через воду.,Група людей перебуває на воді.,ua-ua
1.2,Група дітей влаштувала змагання зі стрибків.,Група дітей влаштувала нічліжку.,ua-ua
1.6,Ворота сині.,Ворота жовті.,ua-ua
1.6,Людина носить федору.,Чоловік носить уніформу.,ua-ua
2.8,"Жінка і чоловік обіймаються, дивлячись фільм жахів.",Чоловік і жінка разом дивляться фільм.,ua-ua
1.8,Чоловік у синій сорочці.,Чоловік у білій сорочці та синіх штанах розмовляє з жінкою в рожевій сорочці.,ua-ua
2.6,Пара грає у «Життя».,Родина разом грає в гру.,ua-ua
0.2,В центрі уваги — голова дитини в темних окулярах.,Там жінка з густим волоссям.,ua-ua
1.0,"Собака гуляє по пляжу, де розбиваються хвилі.",Хлопець з веслом виходить з прибою на пляж.,ua-ua
2.6,Пара чоловіків йде вздовж пляжу.,Двоє чоловіків стоять у прибій на пляжі.,ua-ua
1.6,Блондинка в тунелі.,"Пара, що цілується, знаходиться біля білявої жінки.",ua-ua
2.4,Працівник з обслуговування ремонтує сітку на тенісному корті.,Чоловік знімає тенісну сітку.,ua-ua
4.2,Дитина сидить на футбольному м'ячі на вулиці.,Дитина сидить на футбольному м'ячі в парку.,ua-ua
0.2,"Крук бурмотів, стрибаючи по траві.",Худа собака з довгим хвостом подорожує полем.,ua-ua
2.2,Чоловік у коричневому пальті тре свій ніс.,Лисий чоловік з рудою бородою тримає руку біля рота.,ua-ua
1.6,Собака женеться за гусьми.,Один пес женеться за іншим.,ua-ua
0.8,Маленька дитина грається з літерою П.,"Дві молоді дівчини сидять перед книжковою шафою, і одна з них читає книгу.",ua-ua
5.0,Коричневий собака стрибає.,Коричневий пес стрибає.,ua-ua
3.0,чоловік ловить м'яч,Чоловік б'є по м'ячу.,ua-ua
3.0,У кімнаті сидять двоє чоловіків.,В кімнаті стоять двоє чоловіків.,ua-ua
1.2,Група підлітків у червоних футболках усміхаються.,Група людей одягнена в помаранчеві футболки.,ua-ua
3.2,Жінка чекає на своє побачення.,Жінка йде на побачення.,ua-ua
